name,priority
Writer,4
Demo Teacher,10
Facilitator,3
Trainer,2
Focal Person,1
DepEd Official,8
Consultant,2
Encoder,6
Illustrator,5
External Reviewer,11
Consultant/Reviewer,2
Language Editor,3
Content Reviewer,3
Lead Encoder,6
Co-Lead Encoder,7
Management,1
Layout Artist,5
Participant,4
Resource Speaker,1
Videographer,6
Editor,2
Typesetter,5
Content and Language Reviewer,2
Encoder/Layout Artist,6
Support Staff,6
Documenter,6
Presenter,2
Reactor,3
Moderator,4
Execom,1
BLD Staff,3
QAME,5
Synthesizer,4
